@relation 'dataset_hw_3'

@attribute condition {'1-Control', '2-Buttony-Conversion-Buttons'}
@attribute user_id String
@attribute geo_country String
@attribute device_type {'Computer', 'Tablet', 'Mobile'}
@attribute refr_source String
@attribute view_depth numeric
@attribute view_height numeric
@attribute browser_language String
@attribute click_count numeric
@attribute view_count numeric
@attribute pageview_count numeric
@attribute pageping_count numeric
@attribute session_count numeric

@data
2-Buttony-Conversion-Buttons,00054fe1-4c25-4634-882a-50813fb2cd15,GR,Mobile,Google,360,615,el,0,0,0,0,1
2-Buttony-Conversion-Buttons,0009ab14-821d-4275-b2ba-bf6ace3dcf5b,GB,Mobile,,640,330,en,0,0,0,0,1
1-Control,000ddf66-651b-4701-8439-577d45048f0e,CZ,Mobile,Google,375,628,en,0,0,3,4,1
1-Control,00109076-45a4-4491-8b19-94216053a091,NG,Mobile,Google,346,332,en,0,0,9,7,1
1-Control,00161b83-56b0-42c6-b719-cd2f0d1bd818,HR,Mobile,,320,488,hr,0,0,7,11,1
2-Buttony-Conversion-Buttons,001c2bad-237c-4fb1-b39c-6f65ba541806,GB,Mobile,,360,616,de,0,0,24,21,1
1-Control,001feed7-56d3-460b-ba78-b0fa2132d931,DE,Mobile,Google,320,489,en,0,0,2,10,1
2-Buttony-Conversion-Buttons,002bca42-f8d4-4686-a344-c7ae90823dc3,US,Mobile,Google,375,628,en,0,0,10,52,1
2-Buttony-Conversion-Buttons,002f2214-81f3-4ad6-a875-a7d4ef117196,NL,Mobile,Google,375,559,de,0,0,0,0,1
2-Buttony-Conversion-Buttons,002fad5a-0f02-4d6f-83ee-1b497ad5dc4b,IN,Mobile,,360,568,en,0,0,7,2,1
1-Control,0030f0d7-3a81-4c81-875a-33ac8761f8fb,BE,Mobile,,375,628,fr,0,0,2,6,1
1-Control,00340234-6d71-4ce4-92f7-dea0167c3553,CM,Mobile,Google,229,283,en,0,0,0,0,1
1-Control,003a7ebc-caa7-403c-bb98-a3a9b57f9343,KR,Mobile,Google,360,615,en,0,0,3,3,1
2-Buttony-Conversion-Buttons,003e4326-ad4b-4c64-89c2-80718840fe5c,IN,Mobile,,360,567,en,0,0,1,3,1
1-Control,004ab96f-77cd-4775-a551-e71ef68a879c,AE,Mobile,,480,441,en,0,0,10,33,1
2-Buttony-Conversion-Buttons,004e4ce9-ba15-4dca-8430-0a51660d0a14,PE,Mobile,Google,320,548,es,0,0,3,7,1
1-Control,0058d8a5-0c46-4815-b02f-04a4724eee58,SD,Mobile,,400,6630,en,0,0,4,2,1
2-Buttony-Conversion-Buttons,005e7871-ee9f-4ca6-97ce-8628c73dcf38,BD,Mobile,,360,568,en,0,0,55,98,1
2-Buttony-Conversion-Buttons,007012df-32cb-4949-8234-c22c3cb12f07,MY,Mobile,Google,360,511,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,00720e03-651e-4865-aa9d-cb89d01b4e9e,MD,Mobile,,360,615,en,0,0,10,11,2
1-Control,00746244-d1ae-4457-8b57-ceefefa3018b,ID,Mobile,Google,414,696,en,0,0,0,0,1
1-Control,007c26ad-6d7f-457e-8866-1379995f4ba4,CN,Mobile,,360,567,zh,0,0,1,7,1
2-Buttony-Conversion-Buttons,007f8a0c-e8ad-4268-a818-eaf0723aecba,IT,Mobile,,360,567,en,1,1,1,23,1
1-Control,0086d401-3b75-4f6c-a092-402661472508,NO,Mobile,Google,375,559,nb,0,0,0,0,1
2-Buttony-Conversion-Buttons,008b5031-e3f6-4985-92e3-eba28dc86abb,IN,Mobile,Google,360,615,en,0,0,5,8,1
2-Buttony-Conversion-Buttons,00926677-8195-4435-bfad-7124456267bd,LB,Mobile,Google,375,628,en,0,0,4,6,1
2-Buttony-Conversion-Buttons,00932786-6a16-4812-836f-9cd16cb70680,BD,Mobile,Google,360,568,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,009604cb-f2c6-43cb-b75c-5f851fa55398,GB,Mobile,Google,360,560,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,009a6e5e-2698-44c5-943e-de4ed0a179f5,DE,Mobile,Google,360,567,fr,0,0,15,13,1
1-Control,00a00e82-dc44-45ad-813b-4c1971028b9d,PK,Mobile,Google,360,615,en,0,0,7,5,1
1-Control,00a43045-1440-418e-a429-8470f33837b9,UG,Mobile,,291,306,en,0,0,0,0,1
1-Control,00a52ea3-c727-441e-b276-171e1b6f9f17,OM,Mobile,Google,375,628,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,00a6e44c-3d14-440c-8482-940984226188,QA,Mobile,Google,360,616,en,0,0,8,4,1
1-Control,00b62a2e-7990-4ba8-a599-668c2d3da1ac,GB,Mobile,,375,628,en,0,0,2,9,1
1-Control,00bb62b7-f4e0-40a0-8860-54ae634d3fbe,US,Mobile,,360,616,en,0,0,3,8,1
2-Buttony-Conversion-Buttons,00bd8340-db9a-4c9c-b8e8-f7813343af19,VE,Mobile,,360,567,es,0,0,4,16,1
2-Buttony-Conversion-Buttons,00c04278-cc1f-478f-b6c8-4a3bf0cb71c3,GB,Mobile,Google,320,529,en,0,0,24,21,1
2-Buttony-Conversion-Buttons,00c3ba47-bfaf-411a-9984-0310947e3544,KE,Mobile,,320,4704,en,0,0,8,2,1
2-Buttony-Conversion-Buttons,00c7a731-8cfa-4845-82c6-03c91073d08d,GH,Mobile,,320,485,en,0,0,7,8,1
1-Control,00caaba0-ad84-4231-a5a6-78ba4f991cf6,PT,Mobile,Google,320,529,en,0,0,4,15,1
2-Buttony-Conversion-Buttons,00d2bb3a-0dd9-4cfb-9c63-51c275e2600b,MZ,Mobile,,424,472,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,00d5487d-8499-4b8f-b135-330c6fe27d3d,SZ,Mobile,Google,291,306,en,0,0,0,0,1
1-Control,00d9d549-ec99-4bb8-83f2-7c8911036c3b,MW,Mobile,Google,320,508,en,0,0,2,9,1
1-Control,00e395dc-b19d-4479-a03c-cfc055893558,NG,Mobile,Google,320,5395,en,0,0,2,1,1
1-Control,00e87686-e325-4782-b3e5-c96cc4fb99e8,CA,Mobile,Google,360,559,en,0,0,0,0,1
1-Control,00e8d1dc-effd-4831-8cc1-d15312de2cde,EG,Mobile,,360,567,en,0,0,30,19,2
2-Buttony-Conversion-Buttons,00ee4faa-6734-44f7-bc59-432834413064,LB,Mobile,,412,708,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,00f101a9-ee7e-48a5-b59b-02abb61884f4,NG,Mobile,,300,425,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,00f5b404-bc0a-42b9-bfe7-6930cc85113e,KE,Mobile,,320,9105,en,0,0,9,1,1
1-Control,01000f9a-296a-4b44-87ee-43e0d4e1dff4,LR,Tablet,Google,600,847,en,0,0,4,5,1
2-Buttony-Conversion-Buttons,01013afa-43bf-4d9e-aa56-7f18fad1b4e0,TR,Mobile,Google,360,615,tr,0,0,5,6,1
1-Control,0106ed4e-1956-4ee5-aa0a-67794a38f7a1,IN,Mobile,,360,568,en,0,0,11,18,1
2-Buttony-Conversion-Buttons,0110a0fc-89a1-4fe1-88bb-71ae32a59fbe,CO,Mobile,Google,360,512,es,0,0,0,0,1
2-Buttony-Conversion-Buttons,01136add-0b16-4dab-80af-8e5a1819b5fb,NG,Mobile,,412,732,en,0,0,101,122,1
1-Control,0115aa07-e52e-4a09-81de-5bef6d76473a,IN,Mobile,,360,616,en,0,0,100,138,3
1-Control,011c5f8a-c80e-416a-9844-b49e5c8d394c,IE,Mobile,,414,696,en,0,0,8,42,3
1-Control,01249bfe-caeb-4d44-964c-74a22d645823,IN,Mobile,,320,259,en,0,0,0,0,1
1-Control,01295d30-bb30-4764-b254-f9d22fe36990,JM,Mobile,Google,360,615,en,0,0,1,4,1
2-Buttony-Conversion-Buttons,01332538-3f83-4e6f-8a90-fb99839ceccc,PS,Mobile,Google,375,628,en,0,0,5,25,1
2-Buttony-Conversion-Buttons,01373fdd-2d5e-4e58-b859-d740ed996111,TR,Mobile,,360,616,en,0,0,4,6,1
2-Buttony-Conversion-Buttons,01457f19-9b45-45bf-820f-5fa0e49f6075,IN,Mobile,Google,320,441,en,0,0,10,21,1
2-Buttony-Conversion-Buttons,014e79d0-bf94-427c-b007-43902555d649,IN,Mobile,,375,628,en,0,0,22,58,1
2-Buttony-Conversion-Buttons,0151c0e0-76bd-48cb-a781-ec142fffc955,GH,Tablet,,768,920,en,0,0,5,51,1
2-Buttony-Conversion-Buttons,015a964b-97e1-435c-ba45-8124a84489be,HK,Mobile,Google,375,559,en,0,0,0,0,1
1-Control,015e1afe-b7d1-4fb5-b3ef-2667e92a8841,JP,Mobile,,375,628,ja,0,0,1,7,1
2-Buttony-Conversion-Buttons,016c62da-6c6c-4699-8035-9c75bb48519b,SA,Mobile,Google,414,696,en,0,0,2,10,1
2-Buttony-Conversion-Buttons,0174cd94-8c36-40e9-b249-9eec29423555,DE,Mobile,Google,375,559,de,0,0,0,0,1
1-Control,017c19db-b953-4225-92bf-0d19888a2925,GB,Mobile,Google,320,460,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,017c5509-d4d9-4b0d-8c17-0cfe90a38fe9,BD,Unknown,Google,320,192,en,0,0,0,0,1
1-Control,01992753-abfa-4a1b-9f97-2571a6a1b9ce,VN,Mobile,Facebook,320,460,vi,0,0,0,0,1
1-Control,019c2d37-3a41-4558-9056-d4f7cc0bc2bd,BD,Mobile,Google,360,616,en,0,0,0,0,1
1-Control,019ef06f-543c-4360-934a-43da009cba51,GR,Mobile,,360,640,el,0,0,22,49,1
2-Buttony-Conversion-Buttons,01ad30c2-50c2-4e25-be2c-ced529b2fc35,GR,Mobile,Google,360,616,el,0,0,2,1,1
2-Buttony-Conversion-Buttons,01b77b15-4f77-4883-87fd-eb84604aed3d,  ,Mobile,,640,616,da,0,0,19,19,1
1-Control,01bb3bb0-8c78-424a-8497-339c1fa2514f,ET,Mobile,,343,391,en,0,0,0,0,1
2-Buttony-Conversion-Buttons,01bdd8d3-d981-443e-9817-80c4e4350383,UG,Mobile,Google,320,461,en,0,0,2,4,1
1-Control,01d09bd7-a2d1-4f55-8d6d-2537e48d5a76,HK,Mobile,Google,375,559,en,0,0,0,0,1
1-Control,01d12f6f-e29c-438a-af7e-11def550354e,TR,Mobile,,320,460,tr,0,0,1,1,1
2-Buttony-Conversion-Buttons,01d39a74-a18e-4e4c-8d4b-3ab6e313dfc5,MX,Mobile,,360,559,en,0,0,0,0,1
1-Control,01db9af9-06d6-45a3-aba5-6ddaa8f8741e,MX,Mobile,Google,375,591,es,0,0,0,0,1
2-Buttony-Conversion-Buttons,01e49625-d0fc-4cbf-a1d8-cf7e6d0df1fa,TH,Mobile,Google,320,529,en,0,0,3,8,1
1-Control,01e51e8b-f1cb-4fca-b73f-85f75222024a,BD,Mobile,Google,360,567,en,0,0,0,0,1
1-Control,01e77a06-2a2c-4b25-ad34-3ff6a088689b,NG,Mobile,Google,343,543,en,0,0,2,1,1
2-Buttony-Conversion-Buttons,01ebd1a4-3cf6-4cee-aca4-84713d37b079,GB,Mobile,Google,320,529,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,01ec92d8-21ce-4da7-a177-24bc3d7ec649,FI,Mobile,Google,375,628,en,0,0,10,11,2
1-Control,01f3e860-a8f7-4dae-914e-ebf25004bef6,GR,Mobile,,360,616,el,0,0,4,3,1
2-Buttony-Conversion-Buttons,01fd43bf-8c31-4d6a-9f11-faa3817e2a62,BG,Mobile,Google,360,568,bg,0,0,5,1,1
1-Control,0209a368-94d5-4ce9-b062-4303b712adb7,OM,Mobile,Google,375,628,es,0,0,2,9,1
2-Buttony-Conversion-Buttons,022ddfc1-a485-4a17-913b-bf4c26157629,GH,Mobile,Google,375,563,en,0,0,4,2,1
2-Buttony-Conversion-Buttons,023b14d2-0fd0-45fe-87a2-18cef06c0ef2,GH,Mobile,Google,360,615,en,0,0,1,1,1
2-Buttony-Conversion-Buttons,023d7f61-23bf-459b-9cc6-acac7ce739d5,IN,Mobile,Google,320,441,en,0,0,1,1,1
1-Control,0242868c-0a5e-4a38-bd51-e10af02b51fb,US,Mobile,,375,628,en,0,0,2,2,1
2-Buttony-Conversion-Buttons,024540e3-dcc5-4ae3-b8f1-f6e48990b82a,ET,Mobile,,300,392,en,0,0,0,0,1
1-Control,02461a94-3cc2-4d51-ab10-1e94d77e5fff,IN,Mobile,Google,320,496,en,0,0,6,15,1
1-Control,024e9ab9-73f5-486a-8df2-a37be135ed98,BE,Mobile,,320,492,es,0,0,0,0,1
2-Buttony-Conversion-Buttons,024f9aae-6e44-42a3-9578-f9e3fcd54faf,CN,Mobile,Yahoo,375,628,en,0,0,1,7,1
1-Control,025656a4-30a5-44d7-b0a7-0e3264b48f54,US,Mobile,Google,375,628,en,0,0,4,18,1
2-Buttony-Conversion-Buttons,025d0d26-911d-49e5-89e3-606f6f2995d8,GB,Mobile,,320,508,en,0,0,1,7,1
2-Buttony-Conversion-Buttons,0262d1c4-9724-4334-8f22-00184be2b020,NG,Mobile,,360,567,en,0,0,1,19,1
